Participante,Título del Resumen
"MsC. Maida Rancel Hernández","DINAMICAS DE TALLERES SOBRE PREVENCIÓN DE LA CIBERVIOLENCIA EN PAREJAS JÓVENES EN LA FCM JULIO TRIGO LÓPEZ"
"Yaritza Jova Linares","DINAMICAS DE TALLERES SOBRE PREVENCIÓN DE LA CIBERVIOLENCIA EN PAREJAS JÓVENES EN LA FCM JULIO TRIGO LÓPEZ"
"Katia C. García Hernández","SOFTWARE LIBRE DE LAS HIPERMEDIAS: DEL SISTEMA RESPIRATORIO Y ENTRENADOR DE ELECTROCARDIOGRAMA"
"Maura Perdomo Ortiz","SOFTWARE LIBRE DE LAS HIPERMEDIAS: DEL SISTEMA RESPIRATORIO Y ENTRENADOR DE ELECTROCARDIOGRAMA"
"Lizt Aurora Guzmán López","SOFTWARE LIBRE DE LAS HIPERMEDIAS: DEL SISTEMA RESPIRATORIO Y ENTRENADOR DE ELECTROCARDIOGRAMA"
"Anabel González Tadeo","SOFTWARE LIBRE DE LAS HIPERMEDIAS: DEL SISTEMA RESPIRATORIO Y ENTRENADOR DE ELECTROCARDIOGRAMA"
"Harold Jesús Lazaga Zulueta","SOFTWARE LIBRE DE LAS HIPERMEDIAS: DEL SISTEMA RESPIRATORIO Y ENTRENADOR DE ELECTROCARDIOGRAMA"
"Katia C. García Hernández","SOFTWARE LIBRE DE LAS HIPERMEDIAS: DEL SISTEMA RESPIRATORIO Y ENTRENADOR DE ELECTROCARDIOGRAMA"
"René Arenas Gutiérrez","SOFTWARE LIBRE DE LAS HIPERMEDIAS: DEL SISTEMA RESPIRATORIO Y ENTRENADOR DE ELECTROCARDIOGRAMA"
"Ricardo Fernández Rodríguez","SOFTWARE LIBRE DE LAS HIPERMEDIAS: DEL SISTEMA RESPIRATORIO Y ENTRENADOR DE ELECTROCARDIOGRAMA"
"Dr. C. Sonia Rabelo Padua","SOFTWARE LIBRE DE LAS HIPERMEDIAS: DEL SISTEMA RESPIRATORIO Y ENTRENADOR DE ELECTROCARDIOGRAMA"
"Laura Lliteras Achang","SOFTWARE LIBRE DE LAS HIPERMEDIAS: DEL SISTEMA RESPIRATORIO Y ENTRENADOR DE ELECTROCARDIOGRAMA"
"Katia C. García Hernández","HERRAMIENTA TECNOLÓGICA PARA EL CURSO POR ENCUENTRO EN LICENCIATURA EN ENFERMERÍA"
"Ana Iris Testa González","HERRAMIENTA TECNOLÓGICA PARA EL CURSO POR ENCUENTRO EN LICENCIATURA EN ENFERMERÍA"
"Monica de Regla Rodríguez Espinosa","HERRAMIENTA TECNOLÓGICA PARA EL CURSO POR ENCUENTRO EN LICENCIATURA EN ENFERMERÍA"
"Laura Lliteras Achang","HERRAMIENTA TECNOLÓGICA PARA EL CURSO POR ENCUENTRO EN LICENCIATURA EN ENFERMERÍA"
"Maura Perdomo Ortiz","HERRAMIENTA TECNOLÓGICA PARA EL CURSO POR ENCUENTRO EN LICENCIATURA EN ENFERMERÍA"
"Katia C. García Hernández","HERRAMIENTA TECNOLÓGICA PARA EL CURSO POR ENCUENTRO EN LICENCIATURA EN ENFERMERÍA"
"René Arenas Gutiérrez","HERRAMIENTA TECNOLÓGICA PARA EL CURSO POR ENCUENTRO EN LICENCIATURA EN ENFERMERÍA"
"Ricardo Fernández Rodríguez","HERRAMIENTA TECNOLÓGICA PARA EL CURSO POR ENCUENTRO EN LICENCIATURA EN ENFERMERÍA"
"Yaritza Jova Linares","HERRAMIENTA TECNOLÓGICA PARA EL CURSO POR ENCUENTRO EN LICENCIATURA EN ENFERMERÍA"
"DrC Tamara Ivet Espinosa Hernández","HERRAMIENTA TECNOLÓGICA PARA EL CURSO POR ENCUENTRO EN LICENCIATURA EN ENFERMERÍA"
"Arianna Herrera Zuaznabar","Estrategias de Actividad Física Programada: Un Factor Protector frente al Síndrome de Burnout en Estudiantes de Ciencias Médicas."
"Esther Maria Nash Martinez","Estrategias de Actividad Física Programada: Un Factor Protector frente al Síndrome de Burnout en Estudiantes de Ciencias Médicas."
"José Manuel Cepero Barriso","Íleo biliar. Presentación de un caso"
"Luis Enrique Andrade Rojas","Íleo biliar. Presentación de un caso"
"Germán Brito Sosa","Íleo biliar. Presentación de un caso"
"DraC.  Mercedes  Esquivel Lauzurique","Estudio Nacional de Cohorte del Niño Cubano: resultados preliminares de las relaciones entre el peso al nacer y la presión arterial en la salud adulta"
"MSc. Vilma Tamayo Pérez","Estudio Nacional de Cohorte del Niño Cubano: resultados preliminares de las relaciones entre el peso al nacer y la presión arterial en la salud adulta"
"MsC. Maida Rancel Hernández","Estudio Nacional de Cohorte del Niño Cubano: resultados preliminares de las relaciones entre el peso al nacer y la presión arterial en la salud adulta"
"Emilio Buchaca Faxas","Estudio Nacional de Cohorte del Niño Cubano: resultados preliminares de las relaciones entre el peso al nacer y la presión arterial en la salud adulta"
"Lays Rodríguez Amador","Estudio Nacional de Cohorte del Niño Cubano: resultados preliminares de las relaciones entre el peso al nacer y la presión arterial en la salud adulta"
"DraC.  Mercedes  Esquivel Lauzurique","Grupo DOHaD Cuba: una contribución desde las sociedades científicas al perfeccionamiento del Sistema Nacional de Salud"
"Berta Lidia Castro Pacheco","Grupo DOHaD Cuba: una contribución desde las sociedades científicas al perfeccionamiento del Sistema Nacional de Salud"
"Emilio Buchaca Faxas","Grupo DOHaD Cuba: una contribución desde las sociedades científicas al perfeccionamiento del Sistema Nacional de Salud"
"Lic. Niurka de las Mercedes Sautié Marín","La utilización del Aula Virtual por los estudiantes del Colegio Universitario de la FCM “Julio Trigo López”"
